IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.26.15.116,4,4,0.00,132.60,0.00
172.67.73.172,4,4,0.00,133.90,0.00
172.67.74.211,4,4,0.00,133.96,0.00
104.26.2.120,4,4,0.00,134.72,0.00
104.26.14.3,4,4,0.00,134.85,0.00
172.67.76.128,4,4,0.00,135.08,0.00
172.67.79.71,4,4,0.00,135.11,0.00
172.67.69.162,4,4,0.00,135.14,0.00
104.26.1.41,4,4,0.00,135.18,0.00
172.65.237.121,4,4,0.00,135.94,0.00
104.20.16.150,4,4,0.00,135.96,0.00
172.65.238.40,4,4,0.00,136.33,0.00
172.65.239.238,4,4,0.00,136.34,0.00
104.26.9.143,4,4,0.00,136.41,0.00
172.67.70.178,4,4,0.00,136.54,0.00
104.26.3.83,4,4,0.00,136.79,0.00
172.67.68.123,4,4,0.00,136.98,0.00
104.20.20.193,4,4,0.00,137.11,0.00
104.26.5.8,4,4,0.00,137.45,0.00
104.26.6.21,4,4,0.00,137.77,0.00
172.67.66.176,4,4,0.00,138.66,0.00
104.26.8.212,4,4,0.00,138.66,0.00
104.20.18.156,4,4,0.00,138.73,0.00
104.20.29.4,4,4,0.00,141.27,0.00
172.65.235.245,4,4,0.00,141.73,0.00
104.20.26.233,4,4,0.00,142.48,0.00
104.20.30.78,4,4,0.00,143.43,0.00
104.20.25.63,4,4,0.00,144.52,0.00
104.20.23.28,4,4,0.00,145.60,0.00
104.20.27.239,4,4,0.00,145.89,0.00
104.20.28.87,4,4,0.00,146.27,0.00
172.65.231.44,4,4,0.00,146.77,0.00
104.20.24.6,4,4,0.00,147.33,0.00
104.20.22.170,4,4,0.00,147.65,0.00
172.65.230.11,4,4,0.00,148.12,0.00
172.65.228.55,4,4,0.00,148.50,0.00
172.65.229.171,4,4,0.00,148.97,0.00
172.67.64.131,4,4,0.00,150.10,0.00
172.65.225.47,4,4,0.00,154.15,0.00
172.65.226.211,4,4,0.00,154.78,0.00
172.67.65.88,4,4,0.00,175.61,0.00
104.25.237.26,4,4,0.00,178.31,0.00
172.67.19.107,4,4,0.00,178.31,0.00
172.66.173.23,4,4,0.00,178.87,0.00
104.25.139.9,4,4,0.00,179.28,0.00
104.27.76.119,4,4,0.00,179.36,0.00
104.23.114.78,4,4,0.00,179.60,0.00
104.22.19.210,4,4,0.00,179.60,0.00
104.25.234.136,4,4,0.00,179.90,0.00
172.65.204.246,4,4,0.00,179.94,0.00
104.27.65.65,4,4,0.00,180.03,0.00
104.24.53.47,4,4,0.00,180.12,0.00
104.22.68.154,4,4,0.00,180.20,0.00
104.24.242.123,4,4,0.00,180.32,0.00
104.27.85.24,4,4,0.00,180.34,0.00
104.19.40.86,4,4,0.00,180.87,0.00
104.22.62.54,4,4,0.00,180.99,0.00
172.66.134.172,4,4,0.00,181.04,0.00
104.22.78.84,4,4,0.00,181.13,0.00
104.24.35.152,4,4,0.00,181.15,0.00
172.65.80.158,4,4,0.00,181.20,0.00
104.19.206.141,4,4,0.00,181.21,0.00
172.64.159.43,4,4,0.00,181.22,0.00
104.22.32.86,4,4,0.00,181.36,0.00
162.159.32.227,4,4,0.00,181.49,0.00
172.67.2.75,4,4,0.00,181.49,0.00
104.22.2.197,4,4,0.00,181.52,0.00
104.23.110.231,4,4,0.00,181.61,0.00
172.67.82.185,4,4,0.00,181.64,0.00
104.19.68.205,4,4,0.00,181.80,0.00
104.24.220.121,4,4,0.00,181.80,0.00
104.20.182.166,4,4,0.00,181.95,0.00
104.24.1.203,4,4,0.00,181.99,0.00
172.65.11.78,4,4,0.00,182.03,0.00
104.24.246.119,4,4,0.00,182.07,0.00
104.20.205.238,4,4,0.00,182.08,0.00
104.19.192.234,4,4,0.00,182.09,0.00
172.66.158.120,4,4,0.00,182.23,0.00
104.25.180.194,4,4,0.00,182.30,0.00
104.25.140.37,4,4,0.00,182.34,0.00
104.20.184.52,4,4,0.00,182.43,0.00
104.25.80.228,4,4,0.00,182.46,0.00
104.22.46.14,4,4,0.00,182.47,0.00
104.20.94.4,4,4,0.00,182.48,0.00
172.67.100.161,4,4,0.00,182.50,0.00
104.24.255.235,4,4,0.00,182.54,0.00
172.64.95.142,4,4,0.00,182.55,0.00
104.24.64.114,4,4,0.00,182.56,0.00
104.19.35.24,4,4,0.00,182.62,0.00
104.24.36.106,4,4,0.00,182.67,0.00
104.19.90.193,4,4,0.00,182.69,0.00
104.24.59.77,4,4,0.00,182.73,0.00
104.19.112.197,4,4,0.00,182.78,0.00
104.25.174.67,4,4,0.00,182.78,0.00
172.67.33.78,4,4,0.00,182.81,0.00
172.67.121.136,4,4,0.00,182.84,0.00
104.25.50.171,4,4,0.00,182.96,0.00
172.65.10.104,4,4,0.00,182.98,0.00
104.27.74.20,4,4,0.00,183.00,0.00
104.24.91.234,4,4,0.00,183.07,0.00
104.25.69.210,4,4,0.00,183.09,0.00
104.19.111.213,4,4,0.00,183.20,0.00
104.25.118.203,4,4,0.00,183.20,0.00
104.24.168.221,4,4,0.00,183.21,0.00
104.25.224.109,4,4,0.00,183.25,0.00
104.25.214.124,4,4,0.00,183.32,0.00
172.64.85.183,4,4,0.00,183.35,0.00
104.20.32.164,4,4,0.00,183.52,0.00
104.24.136.162,4,4,0.00,183.53,0.00
172.66.212.195,4,4,0.00,183.57,0.00
104.24.158.244,4,4,0.00,183.60,0.00
104.25.83.150,4,4,0.00,183.69,0.00
104.24.149.187,4,4,0.00,183.73,0.00
172.65.153.116,4,4,0.00,183.74,0.00
104.24.175.254,4,4,0.00,183.80,0.00
104.18.39.154,4,4,0.00,183.90,0.00
104.25.209.203,4,4,0.00,183.96,0.00
172.67.116.211,4,4,0.00,184.03,0.00
172.65.164.114,4,4,0.00,184.09,0.00
104.19.200.227,4,4,0.00,184.13,0.00
172.67.5.19,4,4,0.00,184.15,0.00
172.65.90.121,4,4,0.00,184.16,0.00
172.66.199.150,4,4,0.00,184.17,0.00
104.25.107.144,4,4,0.00,184.18,0.00
104.23.104.240,4,4,0.00,184.26,0.00
104.20.36.233,4,4,0.00,184.29,0.00
104.23.102.197,4,4,0.00,184.30,0.00
104.25.186.183,4,4,0.00,184.33,0.00
172.67.0.122,4,4,0.00,184.34,0.00
104.19.120.188,4,4,0.00,184.44,0.00
104.24.182.37,4,4,0.00,184.47,0.00
172.64.35.2,4,4,0.00,184.48,0.00
104.20.87.48,4,4,0.00,184.48,0.00
104.23.111.6,4,4,0.00,184.53,0.00
104.24.176.211,4,4,0.00,184.57,0.00
104.20.75.217,4,4,0.00,184.60,0.00
104.27.73.206,4,4,0.00,184.67,0.00
162.159.143.72,4,4,0.00,184.69,0.00
172.67.17.1,4,4,0.00,184.69,0.00
104.24.62.65,4,4,0.00,184.70,0.00
104.20.34.28,4,4,0.00,184.71,0.00
162.159.254.51,4,4,0.00,184.75,0.00
104.27.96.170,4,4,0.00,184.78,0.00
104.24.232.22,4,4,0.00,184.87,0.00
104.27.3.35,4,4,0.00,184.88,0.00
104.24.72.22,4,4,0.00,184.91,0.00
104.25.184.87,4,4,0.00,184.93,0.00
104.19.34.140,4,4,0.00,185.02,0.00
172.67.21.104,4,4,0.00,185.05,0.00
104.18.0.27,4,4,0.00,185.08,0.00
104.24.184.229,4,4,0.00,185.11,0.00
198.41.207.11,4,4,0.00,185.18,0.00
104.24.141.161,4,4,0.00,185.24,0.00
104.24.155.44,4,4,0.00,185.31,0.00
198.41.202.149,4,4,0.00,185.39,0.00
104.22.63.177,4,4,0.00,185.40,0.00
104.20.72.41,4,4,0.00,185.41,0.00
104.27.21.224,4,4,0.00,185.45,0.00
104.25.154.43,4,4,0.00,185.46,0.00
104.27.43.21,4,4,0.00,185.53,0.00
104.20.140.215,4,4,0.00,185.54,0.00
172.65.114.82,4,4,0.00,185.60,0.00
104.25.161.227,4,4,0.00,185.63,0.00
104.23.112.112,4,4,0.00,185.65,0.00
104.27.5.95,4,4,0.00,185.71,0.00
104.18.45.39,4,4,0.00,185.72,0.00
172.65.8.2,4,4,0.00,185.73,0.00
172.67.27.80,4,4,0.00,185.85,0.00
104.24.198.221,4,4,0.00,185.88,0.00
104.25.77.117,4,4,0.00,185.92,0.00
104.20.119.98,4,4,0.00,185.98,0.00
104.20.38.139,4,4,0.00,185.98,0.00
172.65.111.213,4,4,0.00,186.00,0.00
104.24.157.233,4,4,0.00,186.01,0.00
104.20.12.161,4,4,0.00,186.02,0.00
172.64.38.184,4,4,0.00,186.03,0.00
104.24.213.164,4,4,0.00,186.04,0.00
104.27.84.55,4,4,0.00,186.06,0.00
104.25.131.17,4,4,0.00,186.07,0.00
104.25.106.69,4,4,0.00,186.11,0.00
104.24.48.247,4,4,0.00,186.15,0.00
104.24.40.70,4,4,0.00,186.15,0.00
104.19.46.70,4,4,0.00,186.18,0.00
104.25.135.21,4,4,0.00,186.35,0.00
104.22.4.116,4,4,0.00,186.35,0.00
104.20.221.188,4,4,0.00,186.38,0.00
162.159.141.239,4,4,0.00,186.42,0.00
104.24.167.46,4,4,0.00,186.44,0.00
104.24.224.9,4,4,0.00,186.47,0.00
104.20.198.216,4,4,0.00,186.48,0.00
104.22.45.162,4,4,0.00,186.54,0.00
104.25.51.139,4,4,0.00,186.61,0.00
104.25.99.113,4,4,0.00,186.62,0.00
172.66.137.122,4,4,0.00,186.68,0.00
172.65.140.72,4,4,0.00,186.69,0.00
104.24.174.142,4,4,0.00,186.70,0.00
104.20.181.213,4,4,0.00,186.71,0.00
104.20.123.121,4,4,0.00,186.71,0.00
104.27.19.232,4,4,0.00,186.77,0.00
104.19.56.95,4,4,0.00,186.77,0.00
104.25.246.83,4,4,0.00,186.78,0.00
104.20.232.50,4,4,0.00,186.79,0.00
104.22.16.103,4,4,0.00,186.81,0.00
104.20.247.162,4,4,0.00,186.86,0.00
104.21.235.145,4,4,0.00,186.89,0.00
104.19.25.72,4,4,0.00,186.93,0.00
104.20.240.162,4,4,0.00,186.94,0.00
104.24.161.11,4,4,0.00,186.94,0.00
104.27.126.248,4,4,0.00,186.95,0.00
104.18.31.108,4,4,0.00,186.95,0.00
104.25.150.32,4,4,0.00,187.00,0.00
104.23.124.19,4,4,0.00,187.05,0.00
104.24.32.56,4,4,0.00,187.07,0.00
104.25.219.161,4,4,0.00,187.07,0.00
104.18.26.186,4,4,0.00,187.12,0.00
104.19.202.75,4,4,0.00,187.13,0.00
104.25.87.200,4,4,0.00,187.16,0.00
104.18.8.211,4,4,0.00,187.22,0.00
104.20.215.118,4,4,0.00,187.24,0.00
104.20.136.37,4,4,0.00,187.30,0.00
104.24.181.234,4,4,0.00,187.31,0.00
104.24.254.26,4,4,0.00,187.36,0.00
104.24.151.148,4,4,0.00,187.38,0.00
162.159.135.190,4,4,0.00,187.39,0.00
104.24.43.180,4,4,0.00,187.44,0.00
172.65.113.63,4,4,0.00,187.44,0.00
172.66.202.238,4,4,0.00,187.46,0.00
104.27.99.114,4,4,0.00,187.49,0.00
104.25.189.153,4,4,0.00,187.50,0.00
104.18.36.151,4,4,0.00,187.54,0.00
104.22.26.59,4,4,0.00,187.54,0.00
172.66.141.61,4,4,0.00,187.57,0.00
104.27.17.145,4,4,0.00,187.62,0.00
104.20.6.99,4,4,0.00,187.65,0.00
104.24.156.225,4,4,0.00,187.71,0.00
104.24.162.37,4,4,0.00,187.72,0.00
104.24.41.132,4,4,0.00,187.73,0.00
104.27.107.85,4,4,0.00,187.77,0.00
104.22.1.242,4,4,0.00,187.78,0.00
198.41.193.70,4,4,0.00,187.79,0.00
104.27.35.189,4,4,0.00,187.80,0.00
104.22.37.125,4,4,0.00,187.81,0.00
104.25.6.1,4,4,0.00,187.81,0.00
104.19.37.218,4,4,0.00,187.83,0.00
172.65.88.126,4,4,0.00,187.85,0.00
104.22.25.142,4,4,0.00,187.86,0.00
172.64.88.127,4,4,0.00,187.92,0.00
104.24.39.189,4,4,0.00,187.92,0.00
172.66.170.49,4,4,0.00,187.96,0.00
172.65.176.217,4,4,0.00,187.98,0.00
104.27.113.101,4,4,0.00,187.98,0.00
104.20.86.207,4,4,0.00,188.00,0.00
172.64.229.189,4,4,0.00,188.01,0.00
172.66.195.229,4,4,0.00,188.02,0.00
104.24.244.2,4,4,0.00,188.14,0.00
162.159.40.34,4,4,0.00,188.19,0.00
172.67.80.186,4,4,0.00,188.19,0.00
104.27.124.138,4,4,0.00,188.20,0.00
104.27.100.209,4,4,0.00,188.21,0.00
104.24.42.187,4,4,0.00,188.22,0.00
104.22.14.189,4,4,0.00,188.23,0.00
104.19.85.150,4,4,0.00,188.24,0.00
104.25.144.189,4,4,0.00,188.26,0.00
104.20.194.69,4,4,0.00,188.26,0.00
104.24.219.181,4,4,0.00,188.27,0.00
104.20.167.163,4,4,0.00,188.30,0.00
172.64.86.59,4,4,0.00,188.33,0.00
104.19.81.152,4,4,0.00,188.34,0.00
172.66.161.53,4,4,0.00,188.35,0.00
104.19.50.98,4,4,0.00,188.36,0.00
104.22.23.43,4,4,0.00,188.37,0.00
104.20.220.247,4,4,0.00,188.38,0.00
104.19.64.1,4,4,0.00,188.41,0.00
104.24.33.24,4,4,0.00,188.44,0.00
172.67.43.69,4,4,0.00,188.48,0.00
172.65.13.31,4,4,0.00,188.49,0.00
104.20.159.174,4,4,0.00,188.49,0.00
104.24.6.238,4,4,0.00,188.50,0.00
104.20.42.30,4,4,0.00,188.51,0.00
104.20.33.237,4,4,0.00,188.53,0.00
104.24.251.52,4,4,0.00,188.62,0.00
172.67.127.129,4,4,0.00,188.62,0.00
172.67.9.67,4,4,0.00,188.62,0.00
172.67.105.120,4,4,0.00,188.63,0.00
104.24.208.127,4,4,0.00,188.64,0.00
104.23.123.199,4,4,0.00,188.64,0.00
104.24.207.118,4,4,0.00,188.66,0.00
104.19.16.215,4,4,0.00,188.66,0.00
172.65.65.199,4,4,0.00,188.68,0.00
104.25.207.143,4,4,0.00,188.70,0.00
172.66.213.54,4,4,0.00,188.76,0.00
104.20.128.108,4,4,0.00,188.83,0.00
104.27.125.125,4,4,0.00,188.83,0.00
104.24.10.33,4,4,0.00,188.84,0.00
172.67.28.233,4,4,0.00,188.84,0.00
172.66.41.8,4,4,0.00,188.87,0.00
104.23.107.248,4,4,0.00,188.91,0.00
104.19.74.40,4,4,0.00,188.94,0.00
104.27.111.124,4,4,0.00,189.01,0.00
104.24.147.180,4,4,0.00,189.04,0.00
104.19.27.14,4,4,0.00,189.05,0.00
104.27.18.248,4,4,0.00,189.06,0.00
104.27.77.131,4,4,0.00,189.06,0.00
104.27.38.31,4,4,0.00,189.06,0.00
104.19.38.114,4,4,0.00,189.11,0.00
104.27.122.154,4,4,0.00,189.13,0.00
172.64.87.137,4,4,0.00,189.20,0.00
104.25.72.51,4,4,0.00,189.26,0.00
104.27.66.96,4,4,0.00,189.28,0.00
172.66.148.136,4,4,0.00,189.30,0.00
162.159.48.228,4,4,0.00,189.31,0.00
104.27.72.176,4,4,0.00,189.31,0.00
172.64.90.36,4,4,0.00,189.36,0.00
104.19.4.217,4,4,0.00,189.37,0.00
104.24.228.213,4,4,0.00,189.38,0.00
104.20.211.175,4,4,0.00,189.39,0.00
104.22.70.59,4,4,0.00,189.40,0.00
172.65.136.58,4,4,0.00,189.45,0.00
104.19.70.236,4,4,0.00,189.46,0.00
104.27.104.12,4,4,0.00,189.51,0.00
104.24.90.199,4,4,0.00,189.51,0.00
104.25.58.8,4,4,0.00,189.53,0.00
104.24.21.80,4,4,0.00,189.54,0.00
104.24.44.142,4,4,0.00,189.57,0.00
104.22.6.246,4,4,0.00,189.59,0.00
172.64.69.113,4,4,0.00,189.59,0.00
104.18.14.122,4,4,0.00,189.60,0.00
104.24.86.42,4,4,0.00,189.60,0.00
104.27.1.188,4,4,0.00,189.66,0.00
162.159.195.21,4,4,0.00,189.67,0.00
104.24.186.249,4,4,0.00,189.68,0.00
172.67.115.37,4,4,0.00,189.71,0.00
104.25.193.38,4,4,0.00,189.72,0.00
104.20.70.61,4,4,0.00,189.75,0.00
172.65.212.12,4,4,0.00,189.76,0.00
172.65.119.88,4,4,0.00,189.78,0.00
104.25.41.77,4,4,0.00,189.82,0.00
172.66.192.199,4,4,0.00,189.82,0.00
104.20.117.41,4,4,0.00,189.82,0.00
104.25.43.227,4,4,0.00,189.83,0.00
172.64.50.59,4,4,0.00,189.85,0.00
172.67.31.189,4,4,0.00,189.86,0.00
104.22.51.179,4,4,0.00,189.88,0.00
172.65.130.116,4,4,0.00,189.88,0.00
104.25.93.15,4,4,0.00,189.90,0.00
104.20.125.159,4,4,0.00,189.91,0.00
104.19.8.64,4,4,0.00,189.93,0.00
172.64.48.76,4,4,0.00,189.99,0.00
104.24.240.150,4,4,0.00,190.00,0.00
172.65.125.253,4,4,0.00,190.03,0.00
172.67.83.219,4,4,0.00,190.03,0.00
104.19.122.13,4,4,0.00,190.05,0.00
172.65.127.238,4,4,0.00,190.08,0.00
104.19.19.103,4,4,0.00,190.10,0.00
104.24.173.85,4,4,0.00,190.10,0.00
104.19.29.43,4,4,0.00,190.12,0.00
172.65.133.32,4,4,0.00,190.15,0.00
172.65.165.235,4,4,0.00,190.18,0.00
172.65.145.248,4,4,0.00,190.18,0.00
104.22.12.28,4,4,0.00,190.19,0.00
104.20.196.80,4,4,0.00,190.21,0.00
104.19.106.229,4,4,0.00,190.24,0.00
104.20.74.227,4,4,0.00,190.26,0.00
172.65.195.108,4,4,0.00,190.27,0.00
104.25.24.41,4,4,0.00,190.29,0.00
162.159.251.6,4,4,0.00,190.33,0.00
172.65.112.230,4,4,0.00,190.36,0.00
104.24.159.77,4,4,0.00,190.36,0.00
104.20.45.144,4,4,0.00,190.37,0.00
104.25.216.197,4,4,0.00,190.39,0.00
104.23.105.126,4,4,0.00,190.40,0.00
104.23.113.68,4,4,0.00,190.40,0.00
104.25.128.134,4,4,0.00,190.43,0.00
172.67.119.112,4,4,0.00,190.50,0.00
104.19.57.74,4,4,0.00,190.50,0.00
172.67.18.31,4,4,0.00,190.53,0.00
104.25.253.218,4,4,0.00,190.54,0.00
104.20.161.112,4,4,0.00,190.54,0.00
162.159.137.242,4,4,0.00,190.54,0.00
104.19.10.150,4,4,0.00,190.55,0.00
104.19.75.81,4,4,0.00,190.55,0.00
104.24.31.177,4,4,0.00,190.56,0.00
104.24.241.51,4,4,0.00,190.58,0.00
104.22.5.197,4,4,0.00,190.58,0.00
104.24.187.243,4,4,0.00,190.61,0.00
172.66.214.206,4,4,0.00,190.61,0.00
172.64.158.144,4,4,0.00,190.64,0.00
104.24.166.123,4,4,0.00,190.64,0.00
104.25.255.132,4,4,0.00,190.64,0.00
104.20.85.61,4,4,0.00,190.66,0.00
104.24.144.35,4,4,0.00,190.67,0.00
172.64.155.97,4,4,0.00,190.68,0.00
162.159.17.172,4,4,0.00,190.69,0.00
104.19.24.3,4,4,0.00,190.70,0.00
104.24.11.165,4,4,0.00,190.70,0.00
104.24.238.139,4,4,0.00,190.71,0.00
104.25.204.71,4,4,0.00,190.72,0.00
162.159.56.65,4,4,0.00,190.73,0.00
104.24.133.97,4,4,0.00,190.74,0.00
162.159.14.94,4,4,0.00,190.75,0.00
104.25.62.121,4,4,0.00,190.76,0.00
172.64.154.253,4,4,0.00,190.77,0.00
172.65.179.91,4,4,0.00,190.80,0.00
104.25.188.93,4,4,0.00,190.80,0.00
172.65.79.108,4,4,0.00,190.83,0.00
104.20.157.247,4,4,0.00,190.84,0.00
162.159.250.142,4,4,0.00,190.84,0.00
104.20.81.238,4,4,0.00,190.85,0.00
104.27.20.190,4,4,0.00,190.86,0.00
104.25.115.4,4,4,0.00,190.91,0.00
104.24.45.219,4,4,0.00,190.95,0.00
172.67.98.46,4,4,0.00,190.96,0.00
104.25.250.158,4,4,0.00,190.99,0.00
104.22.54.207,4,4,0.00,191.00,0.00
104.20.234.66,4,4,0.00,191.00,0.00
162.159.199.158,4,4,0.00,191.04,0.00
104.27.79.184,4,4,0.00,191.05,0.00
104.27.36.71,4,4,0.00,191.05,0.00
104.24.28.247,4,4,0.00,191.06,0.00
104.20.77.28,4,4,0.00,191.07,0.00
162.159.10.212,4,4,0.00,191.08,0.00
104.24.82.42,4,4,0.00,191.09,0.00
172.65.99.5,4,4,0.00,191.10,0.00
172.64.49.73,4,4,0.00,191.11,0.00
104.25.3.105,4,4,0.00,191.12,0.00
104.20.10.216,4,4,0.00,191.13,0.00
108.162.192.240,4,4,0.00,191.14,0.00
104.25.61.220,4,4,0.00,191.16,0.00
104.18.28.19,4,4,0.00,191.16,0.00
172.65.196.138,4,4,0.00,191.18,0.00
104.20.253.79,4,4,0.00,191.18,0.00
104.24.217.212,4,4,0.00,191.19,0.00
104.22.0.76,4,4,0.00,191.19,0.00
104.27.22.118,4,4,0.00,191.20,0.00
172.64.68.241,4,4,0.00,191.21,0.00
104.24.9.251,4,4,0.00,191.21,0.00
104.20.201.232,4,4,0.00,191.24,0.00
104.27.62.92,4,4,0.00,191.25,0.00
108.162.195.254,4,4,0.00,191.27,0.00
104.20.63.7,4,4,0.00,191.28,0.00
104.27.112.17,4,4,0.00,191.28,0.00
172.67.15.113,4,4,0.00,191.37,0.00
104.23.120.24,4,4,0.00,191.39,0.00
104.20.231.26,4,4,0.00,191.39,0.00
104.22.59.21,4,4,0.00,191.40,0.00
104.23.99.178,4,4,0.00,191.41,0.00
104.22.67.155,4,4,0.00,191.45,0.00
172.65.174.212,4,4,0.00,191.46,0.00
104.24.164.47,4,4,0.00,191.47,0.00
104.20.69.1,4,4,0.00,191.50,0.00
172.67.13.51,4,4,0.00,191.54,0.00
104.25.52.254,4,4,0.00,191.55,0.00
104.27.8.4,4,4,0.00,191.55,0.00
172.64.46.151,4,4,0.00,191.56,0.00
104.27.82.156,4,4,0.00,191.57,0.00
104.25.236.120,4,4,0.00,191.60,0.00
172.67.24.157,4,4,0.00,191.62,0.00
104.24.190.158,4,4,0.00,191.64,0.00
172.64.152.123,4,4,0.00,191.65,0.00
104.23.127.1,4,4,0.00,191.66,0.00
172.65.126.234,4,4,0.00,191.70,0.00
104.24.165.24,4,4,0.00,191.70,0.00
104.22.43.104,4,4,0.00,191.71,0.00
172.66.216.226,4,4,0.00,191.71,0.00
104.18.34.145,4,4,0.00,191.72,0.00
104.27.0.147,4,4,0.00,191.73,0.00
104.27.49.48,4,4,0.00,191.73,0.00
104.25.37.40,4,4,0.00,191.73,0.00
104.24.252.61,4,4,0.00,191.74,0.00
172.65.148.149,4,4,0.00,191.74,0.00
104.20.99.52,4,4,0.00,191.75,0.00
162.159.26.72,4,4,0.00,191.78,0.00
104.24.139.73,4,4,0.00,191.78,0.00
172.67.10.187,4,4,0.00,191.78,0.00
172.65.3.168,4,4,0.00,191.78,0.00
104.25.16.126,4,4,0.00,191.78,0.00
172.65.101.144,4,4,0.00,191.81,0.00
104.19.205.229,4,4,0.00,191.84,0.00
104.18.9.69,4,4,0.00,191.86,0.00
104.20.107.119,4,4,0.00,191.87,0.00
172.65.82.7,4,4,0.00,191.88,0.00
104.20.177.103,4,4,0.00,191.88,0.00
172.67.120.153,4,4,0.00,191.90,0.00
104.24.49.125,4,4,0.00,191.90,0.00
104.23.98.81,4,4,0.00,191.90,0.00
104.25.247.3,4,4,0.00,191.91,0.00
104.24.89.109,4,4,0.00,191.92,0.00
172.66.166.214,4,4,0.00,191.95,0.00
104.23.121.92,4,4,0.00,191.96,0.00
104.25.53.221,4,4,0.00,191.96,0.00
104.22.79.224,4,4,0.00,191.98,0.00
104.31.16.24,4,4,0.00,192.02,0.00
172.65.149.15,4,4,0.00,192.05,0.00
172.64.80.135,4,4,0.00,192.05,0.00
104.27.81.23,4,4,0.00,192.06,0.00
104.24.227.40,4,4,0.00,192.06,0.00
104.27.2.61,4,4,0.00,192.11,0.00
104.25.95.236,4,4,0.00,192.12,0.00
104.24.160.198,4,4,0.00,192.13,0.00
