IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:3003:0:18:969c:26a6:9e51,4,4,0.00,185.36,50.74
2606:4700:3010:2dd2:53d3:1e18:8231:665b,4,4,0.00,183.57,34.20
2606:4700:3003:c8e:17ff:834a:525:a70d,4,4,0.00,183.17,33.48
2606:4700:3003::bf:c09f,4,4,0.00,183.84,32.97
2606:4700:3010:2dd2:53a5:9dfe:639c:2c8b,4,4,0.00,184.85,32.60
2606:4700:3010:73ed:2959:4cdb:b656:9aaa,4,4,0.00,179.75,30.31
2606:4700:3010:2d55:d795:96ed:10f8:89f9,4,4,0.00,181.70,28.43
2606:4700:3010:2d55:e5d:70ab:75:9573,4,4,0.00,182.29,26.71
2606:4700:3003:0:5e:a85a:993b:6a41,4,4,0.00,183.84,26.35
2606:4700:3010:73ed:efc0:4736:73c:6d5d,4,4,0.00,183.84,15.06
