IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.65.227.29,4,4,0.00,128.99,0.00
172.65.237.135,4,4,0.00,129.70,0.00
172.65.231.164,4,4,0.00,130.32,0.00
172.65.230.244,4,4,0.00,130.45,0.00
172.65.226.134,4,4,0.00,130.81,0.00
172.65.224.70,4,4,0.00,130.91,0.00
172.65.229.137,4,4,0.00,130.94,0.00
172.65.225.67,4,4,0.00,131.83,0.00
172.65.232.192,4,4,0.00,132.89,0.00
104.26.13.13,4,4,0.00,134.30,0.00
104.26.7.106,4,4,0.00,134.63,0.00
172.67.78.172,4,4,0.00,134.90,0.00
104.26.0.97,4,4,0.00,135.07,0.00
172.67.75.192,4,4,0.00,135.70,0.00
104.26.4.113,4,4,0.00,136.02,0.00
104.26.3.182,4,4,0.00,136.23,0.00
104.26.6.175,4,4,0.00,136.64,0.00
104.26.1.151,4,4,0.00,136.78,0.00
172.67.77.96,4,4,0.00,137.30,0.00
172.67.65.161,4,4,0.00,137.33,0.00
172.67.79.232,4,4,0.00,137.43,0.00
172.67.76.107,4,4,0.00,137.73,0.00
172.67.70.191,4,4,0.00,138.66,0.00
172.65.198.20,4,4,0.00,177.58,0.00
172.65.177.228,4,4,0.00,178.57,0.00
104.25.155.248,4,4,0.00,178.65,0.00
104.22.4.108,4,4,0.00,178.77,0.00
104.24.23.135,4,4,0.00,178.78,0.00
172.64.39.46,4,4,0.00,179.12,0.00
104.22.0.14,4,4,0.00,179.21,0.00
104.21.104.183,4,4,0.00,179.54,0.00
172.65.217.44,4,4,0.00,179.55,0.00
104.24.240.35,4,4,0.00,180.38,0.00
172.67.128.202,4,4,0.00,180.40,0.00
104.25.30.208,4,4,0.00,180.56,0.00
104.25.81.7,4,4,0.00,180.77,0.00
104.22.64.168,4,4,0.00,180.84,0.00
104.24.35.201,4,4,0.00,180.84,0.00
104.22.13.216,4,4,0.00,180.94,0.00
104.21.109.1,4,4,0.00,181.15,0.00
104.24.140.192,4,4,0.00,181.21,0.00
104.24.223.250,4,4,0.00,181.30,0.00
104.25.235.70,4,4,0.00,181.64,0.00
172.65.181.234,4,4,0.00,181.80,0.00
104.24.137.29,4,4,0.00,181.84,0.00
172.66.175.43,4,4,0.00,181.99,0.00
104.25.97.90,4,4,0.00,182.04,0.00
104.27.46.46,4,4,0.00,182.09,0.00
104.24.91.0,4,4,0.00,182.34,0.00
172.67.113.123,4,4,0.00,182.38,0.00
172.67.219.105,4,4,0.00,182.48,0.00
104.23.129.121,4,4,0.00,182.54,0.00
104.24.24.132,4,4,0.00,182.58,0.00
104.24.90.239,4,4,0.00,182.58,0.00
104.22.48.51,4,4,0.00,182.75,0.00
104.27.98.119,4,4,0.00,182.78,0.00
104.24.22.144,4,4,0.00,182.78,0.00
172.67.152.43,4,4,0.00,182.79,0.00
172.65.184.220,4,4,0.00,182.88,0.00
104.22.32.208,4,4,0.00,182.94,0.00
172.65.144.59,4,4,0.00,182.98,0.00
104.25.10.123,4,4,0.00,183.17,0.00
104.27.196.12,4,4,0.00,183.18,0.00
172.65.17.177,4,4,0.00,183.21,0.00
172.65.75.177,4,4,0.00,183.27,0.00
104.25.15.225,4,4,0.00,183.30,0.00
172.65.16.73,4,4,0.00,183.33,0.00
104.24.153.13,4,4,0.00,183.33,0.00
172.65.49.184,4,4,0.00,183.37,0.00
104.25.140.217,4,4,0.00,183.47,0.00
172.65.24.183,4,4,0.00,183.51,0.00
104.25.112.236,4,4,0.00,183.57,0.00
172.64.157.40,4,4,0.00,183.58,0.00
172.64.81.31,4,4,0.00,183.73,0.00
104.24.231.103,4,4,0.00,183.95,0.00
104.24.28.218,4,4,0.00,183.97,0.00
172.67.159.216,4,4,0.00,184.00,0.00
104.25.254.233,4,4,0.00,184.28,0.00
104.27.59.212,4,4,0.00,184.31,0.00
104.24.63.226,4,4,0.00,184.37,0.00
172.65.110.195,4,4,0.00,184.50,0.00
104.25.223.155,4,4,0.00,184.53,0.00
104.25.198.62,4,4,0.00,184.55,0.00
104.27.107.11,4,4,0.00,184.79,0.00
104.25.200.76,4,4,0.00,184.88,0.00
172.65.51.220,4,4,0.00,185.01,0.00
104.27.0.23,4,4,0.00,185.07,0.00
104.27.35.226,4,4,0.00,185.09,0.00
104.21.121.111,4,4,0.00,185.36,0.00
104.21.100.140,4,4,0.00,185.38,0.00
172.66.169.135,4,4,0.00,185.38,0.00
172.67.132.137,4,4,0.00,185.60,0.00
172.65.99.204,4,4,0.00,185.64,0.00
172.67.243.40,4,4,0.00,185.66,0.00
104.24.85.253,4,4,0.00,185.72,0.00
172.65.107.197,4,4,0.00,185.77,0.00
172.67.87.181,4,4,0.00,185.80,0.00
172.65.3.226,4,4,0.00,185.84,0.00
104.24.152.62,4,4,0.00,186.06,0.00
104.24.216.50,4,4,0.00,186.22,0.00
104.27.200.0,4,4,0.00,186.25,0.00
172.67.114.115,4,4,0.00,186.27,0.00
104.21.126.184,4,4,0.00,186.28,0.00
104.24.211.216,4,4,0.00,186.35,0.00
104.24.6.129,4,4,0.00,186.40,0.00
172.67.119.252,4,4,0.00,186.44,0.00
104.27.14.90,4,4,0.00,186.44,0.00
104.25.196.2,4,4,0.00,186.48,0.00
172.67.229.153,4,4,0.00,186.49,0.00
104.24.186.71,4,4,0.00,186.52,0.00
172.65.85.90,4,4,0.00,186.54,0.00
172.65.27.121,4,4,0.00,186.56,0.00
104.27.115.237,4,4,0.00,186.59,0.00
172.65.182.10,4,4,0.00,186.64,0.00
172.65.197.6,4,4,0.00,186.66,0.00
172.65.135.12,4,4,0.00,186.69,0.00
104.24.131.82,4,4,0.00,186.73,0.00
172.67.90.74,4,4,0.00,186.78,0.00
104.24.180.101,4,4,0.00,186.85,0.00
172.67.233.66,4,4,0.00,186.85,0.00
104.25.160.82,4,4,0.00,186.87,0.00
172.64.40.15,4,4,0.00,186.89,0.00
104.25.56.248,4,4,0.00,186.89,0.00
104.24.83.223,4,4,0.00,186.94,0.00
172.65.166.243,4,4,0.00,186.99,0.00
172.67.183.85,4,4,0.00,187.04,0.00
104.24.189.146,4,4,0.00,187.06,0.00
172.65.71.156,4,4,0.00,187.07,0.00
104.25.71.114,4,4,0.00,187.13,0.00
104.24.92.52,4,4,0.00,187.13,0.00
172.65.185.186,4,4,0.00,187.13,0.00
104.25.184.80,4,4,0.00,187.16,0.00
104.24.95.129,4,4,0.00,187.17,0.00
104.24.191.200,4,4,0.00,187.41,0.00
172.67.191.77,4,4,0.00,187.44,0.00
104.25.219.16,4,4,0.00,187.44,0.00
104.25.93.248,4,4,0.00,187.45,0.00
104.25.217.229,4,4,0.00,187.49,0.00
104.24.18.253,4,4,0.00,187.51,0.00
172.65.65.162,4,4,0.00,187.60,0.00
104.25.156.55,4,4,0.00,187.62,0.00
172.66.214.150,4,4,0.00,187.63,0.00
172.67.123.148,4,4,0.00,187.85,0.00
104.25.212.34,4,4,0.00,187.89,0.00
172.66.145.198,4,4,0.00,187.89,0.00
172.65.23.119,4,4,0.00,187.90,0.00
172.66.198.46,4,4,0.00,187.97,0.00
104.24.192.199,4,4,0.00,187.98,0.00
172.67.167.50,4,4,0.00,187.99,0.00
104.22.33.227,4,4,0.00,188.00,0.00
104.24.37.187,4,4,0.00,188.07,0.00
172.66.193.134,4,4,0.00,188.08,0.00
172.65.88.23,4,4,0.00,188.09,0.00
104.25.135.69,4,4,0.00,188.10,0.00
104.25.227.57,4,4,0.00,188.11,0.00
172.67.180.242,4,4,0.00,188.13,0.00
172.65.134.11,4,4,0.00,188.20,0.00
104.25.209.244,4,4,0.00,188.21,0.00
104.21.215.247,4,4,0.00,188.23,0.00
104.25.178.25,4,4,0.00,188.24,0.00
104.27.10.135,4,4,0.00,188.28,0.00
172.65.94.5,4,4,0.00,188.32,0.00
172.67.164.226,4,4,0.00,188.34,0.00
172.65.220.230,4,4,0.00,188.39,0.00
104.24.243.2,4,4,0.00,188.43,0.00
172.67.30.149,4,4,0.00,188.46,0.00
104.25.142.185,4,4,0.00,188.47,0.00
172.65.196.115,4,4,0.00,188.50,0.00
104.21.108.243,4,4,0.00,188.54,0.00
104.24.47.253,4,4,0.00,188.57,0.00
172.67.97.74,4,4,0.00,188.58,0.00
104.24.170.47,4,4,0.00,188.70,0.00
104.23.104.251,4,4,0.00,188.71,0.00
104.25.12.81,4,4,0.00,188.73,0.00
104.24.150.248,4,4,0.00,188.75,0.00
104.27.108.124,4,4,0.00,188.75,0.00
172.66.1.202,4,4,0.00,188.77,0.00
104.22.41.158,4,4,0.00,188.77,0.00
172.67.41.78,4,4,0.00,188.78,0.00
104.24.19.202,4,4,0.00,188.81,0.00
172.67.157.11,4,4,0.00,188.82,0.00
104.21.198.93,4,4,0.00,188.82,0.00
104.25.246.129,4,4,0.00,188.82,0.00
172.64.144.208,4,4,0.00,188.84,0.00
172.65.172.103,4,4,0.00,188.87,0.00
172.65.67.204,4,4,0.00,188.89,0.00
172.65.36.116,4,4,0.00,188.89,0.00
172.65.221.238,4,4,0.00,188.89,0.00
104.24.143.150,4,4,0.00,188.90,0.00
172.65.113.181,4,4,0.00,188.91,0.00
172.66.130.60,4,4,0.00,188.91,0.00
104.25.24.39,4,4,0.00,188.95,0.00
104.24.36.39,4,4,0.00,188.97,0.00
172.65.1.30,4,4,0.00,188.97,0.00
104.22.25.167,4,4,0.00,188.97,0.00
172.67.211.253,4,4,0.00,188.99,0.00
172.67.116.236,4,4,0.00,188.99,0.00
172.65.206.59,4,4,0.00,188.99,0.00
104.23.105.14,4,4,0.00,189.01,0.00
104.24.89.121,4,4,0.00,189.02,0.00
172.65.58.129,4,4,0.00,189.06,0.00
104.21.208.0,4,4,0.00,189.11,0.00
104.22.14.126,4,4,0.00,189.12,0.00
104.24.14.217,4,4,0.00,189.12,0.00
172.66.217.224,4,4,0.00,189.12,0.00
172.65.106.21,4,4,0.00,189.14,0.00
104.25.116.223,4,4,0.00,189.15,0.00
