IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.26.6.8,4,4,0.00,132.12,0.00
172.67.72.143,4,4,0.00,132.43,0.00
172.65.229.42,4,4,0.00,132.84,0.00
172.67.64.51,4,4,0.00,133.06,0.00
172.65.231.13,4,4,0.00,133.20,0.00
172.65.235.83,4,4,0.00,133.73,0.00
172.65.236.246,4,4,0.00,134.07,0.00
172.65.234.75,4,4,0.00,134.09,0.00
104.26.2.219,4,4,0.00,134.77,0.00
104.26.12.184,4,4,0.00,134.93,0.00
104.26.9.144,4,4,0.00,135.36,0.00
104.20.19.82,4,4,0.00,135.63,0.00
172.65.233.69,4,4,0.00,136.05,0.00
104.20.21.159,4,4,0.00,136.18,0.00
172.67.66.3,4,4,0.00,136.26,0.00
104.20.17.250,4,4,0.00,136.37,0.00
104.20.25.100,4,4,0.00,136.97,0.00
172.67.70.36,4,4,0.00,137.35,0.00
172.65.227.24,4,4,0.00,137.54,0.00
104.26.8.167,4,4,0.00,137.55,0.00
104.20.28.62,4,4,0.00,138.67,0.00
104.16.160.21,4,4,0.00,174.53,0.00
104.27.84.160,4,4,0.00,176.83,0.00
104.20.185.251,4,4,0.00,178.58,0.00
104.19.159.29,4,4,0.00,178.91,0.00
172.64.147.215,4,4,0.00,179.04,0.00
172.65.136.210,4,4,0.00,179.21,0.00
104.25.196.147,4,4,0.00,179.29,0.00
172.65.154.176,4,4,0.00,179.31,0.00
104.20.37.23,4,4,0.00,179.51,0.00
104.25.237.242,4,4,0.00,179.74,0.00
162.159.50.158,4,4,0.00,179.89,0.00
104.16.231.236,4,4,0.00,179.89,0.00
104.24.172.181,4,4,0.00,179.92,0.00
104.20.236.49,4,4,0.00,180.08,0.00
104.25.53.167,4,4,0.00,180.11,0.00
104.25.230.78,4,4,0.00,180.38,0.00
172.67.115.40,4,4,0.00,180.54,0.00
172.65.255.232,4,4,0.00,180.61,0.00
172.66.195.75,4,4,0.00,180.63,0.00
104.25.175.150,4,4,0.00,180.63,0.00
162.159.32.246,4,4,0.00,180.69,0.00
104.16.94.167,4,4,0.00,180.71,0.00
104.24.223.9,4,4,0.00,180.77,0.00
104.20.44.244,4,4,0.00,180.80,0.00
172.66.215.221,4,4,0.00,180.90,0.00
172.64.153.123,4,4,0.00,181.10,0.00
104.20.58.70,4,4,0.00,181.16,0.00
104.22.24.5,4,4,0.00,181.22,0.00
104.24.135.33,4,4,0.00,181.47,0.00
104.20.226.169,4,4,0.00,181.49,0.00
104.20.169.30,4,4,0.00,181.54,0.00
172.67.84.101,4,4,0.00,181.78,0.00
172.66.165.100,4,4,0.00,181.91,0.00
104.19.149.42,4,4,0.00,181.93,0.00
104.25.255.128,4,4,0.00,181.95,0.00
172.65.83.247,4,4,0.00,182.02,0.00
104.19.177.12,4,4,0.00,182.03,0.00
104.25.177.121,4,4,0.00,182.04,0.00
104.27.92.187,4,4,0.00,182.06,0.00
172.65.119.149,4,4,0.00,182.06,0.00
104.19.51.219,4,4,0.00,182.16,0.00
104.20.145.171,4,4,0.00,182.19,0.00
104.16.144.129,4,4,0.00,182.23,0.00
104.24.234.235,4,4,0.00,182.23,0.00
172.65.175.124,4,4,0.00,182.29,0.00
104.25.123.164,4,4,0.00,182.46,0.00
172.67.52.226,4,4,0.00,182.61,0.00
172.67.58.229,4,4,0.00,182.65,0.00
172.65.191.196,4,4,0.00,182.65,0.00
172.67.20.231,4,4,0.00,182.66,0.00
104.25.56.234,4,4,0.00,182.75,0.00
104.25.232.147,4,4,0.00,182.77,0.00
104.20.147.10,4,4,0.00,182.79,0.00
104.25.154.251,4,4,0.00,182.81,0.00
104.24.15.29,4,4,0.00,182.83,0.00
104.25.38.14,4,4,0.00,182.86,0.00
104.20.64.107,4,4,0.00,182.93,0.00
104.27.93.22,4,4,0.00,182.96,0.00
104.25.252.12,4,4,0.00,183.00,0.00
104.16.95.59,4,4,0.00,183.01,0.00
104.25.23.192,4,4,0.00,183.06,0.00
104.27.105.69,4,4,0.00,183.18,0.00
104.16.166.16,4,4,0.00,183.29,0.00
104.19.178.95,4,4,0.00,183.31,0.00
104.25.226.226,4,4,0.00,183.32,0.00
172.66.163.224,4,4,0.00,183.41,0.00
104.22.55.159,4,4,0.00,183.48,0.00
104.27.48.165,4,4,0.00,183.52,0.00
104.25.108.121,4,4,0.00,183.53,0.00
108.162.194.152,4,4,0.00,183.65,0.00
104.17.19.115,4,4,0.00,183.67,0.00
104.16.156.143,4,4,0.00,183.77,0.00
172.67.13.125,4,4,0.00,183.85,0.00
104.22.29.147,4,4,0.00,183.85,0.00
172.65.170.75,4,4,0.00,183.88,0.00
162.159.60.64,4,4,0.00,183.95,0.00
104.19.166.126,4,4,0.00,183.97,0.00
104.24.168.155,4,4,0.00,183.98,0.00
104.16.233.12,4,4,0.00,183.99,0.00
104.25.86.52,4,4,0.00,184.05,0.00
